ReadName,Mapping_x,MapStart_x,MapEnd_x,Strand,Mapping_y,MapStart_y,MapQual,ReadLength,MapEnd_y,StrandStatus,Region of Interest,StrandDirection
414ea9ff-654b-4e9d-bd52-3bd30d9103f1,pFB2,0,153,fwd,pFB2,0,60,157,157,Lag,Others,fwdLag
581b4e67-a8a5-4b85-80cf-fb98a9e58b6c,pFB2,0,131,fwd,pFB2,0,60,134,134,Lag,Others,fwdLag
41803a44-66f9-4614-8025-0da1537aa0a9,pFB2,0,147,fwd,pFB2,0,23,167,167,Lag,Others,fwdLag
b54fc5f9-7711-4432-b2f9-98ded51b67bb,pFB2,0,118,fwd,pFB2,0,60,165,165,Lag,Others,fwdLag
cd93eb2c-1d86-41dd-987d-b0d789daf75e,pFB2,0,170,fwd,pFB2,0,60,170,170,Lag,Others,fwdLag
aa6f5a1c-d3f9-4790-b058-29fe3ae03ec9,pFB2,0,109,fwd,pFB2,0,60,134,134,Lag,Others,fwdLag
7ca3be57-a2a7-45da-ba3a-e62ec7e7f4b7,pFB2,0,117,rev,pFB2,0,25,143,143,Lead,Others,revLead
858af9ba-ff46-4059-8580-784fe64d8ea9,pFB2,0,132,rev,pFB2,0,60,166,166,Lead,Others,revLead
66fe9ed1-f2f2-466f-b254-1b660fdba3cf,pFB2,0,146,rev,pFB2,0,60,143,143,Lead,Others,revLead
cbf0d93e-410a-474e-859f-41953468e1c3,pFB2,0,142,rev,pFB2,0,31,172,172,Lead,Others,revLead
896ab4d5-1d69-4713-8e1e-8a75c9ce70db,pFB2,0,151,rev,pFB2,0,57,171,171,Lead,Others,revLead
87777888-b6fd-4bfc-aede-f64abb380a32,pFB2,0,163,rev,pFB2,0,58,168,168,Lead,Others,revLead
774caaf4-695e-4263-b2dc-bee72f7ca1d5,pFB2,0,142,rev,pFB2,0,56,138,138,Lead,Others,revLead
bbe25fa6-ffe3-41fa-bab7-8b5daf29009d,pFB2,0,131,rev,pFB2,0,60,128,128,Lead,Others,revLead
24b9c7fc-f840-42de-a014-4e7bc7fafde7,pFB2,0,129,rev,pFB2,0,25,163,163,Lead,Others,revLead
cee6a73f-939d-4414-a80f-baddc62c179d,pFB2,0,130,rev,pFB2,0,47,141,141,Lead,Others,revLead
