ReadName Mapping_x MapStart_x MapEnd_x Strand Mapping_y MapStart_y MapQual ReadLength MapEnd_y StrandStatus "Region of Interest" StrandDirection
7fd8bea2-c1e5-4dc9-ba65-548bd370634a pFB2 0 150 fwd pFB2 0 23 152 152 Lag Others fwdLag
8d708a0f-b1a2-4fe4-aa4a-770cb5741891 pFB2 0 104 fwd pFB2 0 59 143 143 Lag Others fwdLag
45f77441-4984-45e9-8238-bdfcbc0f3006 pFB2 0 141 fwd pFB2 0 60 146 146 Lag Others fwdLag
9bbd54ac-2688-410d-821f-027dbe103903 pFB2 0 139 fwd pFB2 0 29 159 159 Lag Others fwdLag
47e52e99-f164-43ed-8697-8fe1a70b1b2d pFB2 0 149 rev pFB2 0 60 156 156 Lead Others revLead
9b418883-4ca0-4723-be5a-e53d701cd0e9 pFB2 0 136 rev pFB2 0 58 138 138 Lead Others revLead
8586dae3-8af7-4e9a-b6b2-e7dbe7cfe547 pFB2 0 146 rev pFB2 0 49 167 167 Lead Others revLead
b11b355b-c82d-45ee-ad87-7a6775b1711c pFB2 0 146 rev pFB2 0 23 147 147 Lead Others revLead
49932257-51a9-4366-9582-e7f32a14d76e pFB2 0 131 rev pFB2 0 60 137 137 Lead Others revLead
6d4eb5f9-f445-43a6-a9d7-05feacd3f971 pFB2 2 136 fwd pFB2 2 60 135 137 Lag Others fwdLag
212754fd-9b24-4181-8912-84049d9ba7ba pFB2 2 130 rev pFB2 2 60 128 130 Lead Others revLead
9a779c40-1896-49e5-9ef8-656904a288f4 pFB2 4 132 fwd pFB2 4 60 135 139 Lag Others fwdLag
659e45e0-fd34-40d0-98cc-597292837918 pFB2 5 154 fwd pFB2 5 29 157 162 Lag Others fwdLag
65f903c8-6d5e-4543-b33a-7703f6569dbd pFB2 5 132 fwd pFB2 5 49 125 130 Lag Others fwdLag
882e4ed1-9d62-43ee-ab04-208e7537027f pFB2 5 141 rev pFB2 5 60 137 142 Lead Others revLead
c9af5c61-f64a-454b-be89-b5ab860c688d pFB2 5 151 rev pFB2 5 60 148 153 Lead Others revLead
05575e32-0b15-4885-a5aa-e9d141786a0b pFB2 5 150 rev pFB2 5 52 145 150 Lead Others revLead
954b993e-90e4-4540-9a3f-20b726663043 pFB2 6 167 fwd pFB2 6 60 164 170 Lag Others fwdLag
b6af9292-df15-44ae-92cb-bc05e3f3fae2 pFB2 7 168 fwd pFB2 7 60 163 170 Lag Others fwdLag
58fe977e-2066-4ae4-8043-d383995af116 pFB2 7 163 rev pFB2 7 60 160 167 Lead Others revLead
7ca1ce06-a318-40ae-9fc5-7d96b53f71da pFB2 8 170 fwd pFB2 8 60 162 170 Lag Others fwdLag
10d2b673-97bc-4e83-873c-df1a63c6d335 pFB2 9 150 rev pFB2 9 48 151 160 Lead Others revLead
713b2ccd-6f75-4deb-b7ac-9105aaa70c19 pFB2 14 151 rev pFB2 14 60 135 149 Lead Others revLead
d3997dcd-f8f0-42d6-a99a-1471314e8841 pFB2 15 187 fwd pFB2 15 60 171 186 Lag Others fwdLag
b2f7a2a9-1cce-4c8a-9fc9-ea72c65ffebd pFB2 15 167 fwd pFB2 15 60 151 166 Lag Others fwdLag
